school_name,
개포,
경기,
독산,
삼성,
성동,
노원,
청량,
누원,
자운,
문정,
수명,
성수,
광문,
단국대학교사범대학부속,
대광,
동북,
성덕,
홍익대학교사범대학부속,
이화금란,
명덕여자,
보인,
선일여자,
숭의여자,
영동일,
서울공연예술,
명덕외국어,
서울공업,
서울아이티,
인덕공업,
경원,
영도여자,
부산여자,
다대,
부산,
부산동여자,
신정,
신도,
가야,
삼성여자,
해운대,
해운대여자,
혜광,
부산체육,
경성전자,
부산영상예술,
부산해사,
대구여자,
시지,
성산,
동문,
경명여자,
계성,
능인,
대건,
대원,
심인,
영남,
구남보건,
인명여자,
인화여자,
인천초은,
백령,
인천공항,
인천효성,
인천원당,
인천대건,
동산,
서인천,
숭덕여자,
가좌,
인천부흥,
인천국제,
인천하이텍,
인천여자공업,
재능,
영화관광경영,
동명,
금호,
대성여자,
살레시오,
문정여자,
빛고을,
광주과학,
광주자연과학,
전남공업,
숭의,
광주자동화설비공업,
대전반석,
대전송촌,
대전한빛,
호수돈여자,
대전복수,
대전도안,
대전동신과학,
대전예술,
남창,
울산산업,
별내,
계남,
군서,
관양,
광명북,
단원,
성지,
숙지,
시흥,
시흥매화,
송우,
와부,
원곡,
정발,
청명,
충현,
한솔,
화홍,
송현,
낙생,
덕소,
동원,
삼괴,
소명여자,
안법,
용인한국외국어대학교부설,
태원,
신봉,
풍생,
파주,
화성,
광덕,
세마,
광동,
청북,
경기체육,
용인바이오,
군자공업,
의정부공업,
일산,
평촌공업,
한국도예,
동일공업,
안성두원공업,
경기자동차과학,
삼일상업,
청담,
한국디지털미디어,
한국조리과학,
문산제일,
장호원,
조종,
보영여자,
안중,
가곡,
기린,
서석,
속초여자,
안흥,
원주,
춘천,
춘천여자,
상지여자,
원주삼육,
유봉여자,
강원예술,
강원외국어,
김화공업,
고한,
청주신흥,
청석,
제천,
보은여자,
보은,
옥천,
영동,
흥덕,
청원,
충북체육,
충북전산기계,
충북에너지,
한국호텔관광,
공주대학교사범대학부설,
금산,
예산여자,
천안중앙,
천안오성,
천안신당,
천안업성,
예산,
홍주,
충남디자인예술,
충남외국어,
논산공업,
운산공업,
강경상업,
광천제일,
공주정보,
부안,
전주,
함열,
해리,
남원서진여자,
동국대학교사범대학부속금산,
남원국악예술,
원광,
이일여자,
전북제일,
한국마사,
양현,
오수,
한국게임과학,
무주,
고창여자,
여수여자,
여천,
담양,
곡성,
고흥,
고금,
조도,
영흥,
광양제철,
성요셉여자,
전남예술,
전남외국어,
호남원예,
전남자연과학,
전남생명과학,
영암전자과학,
고흥도화,
벌교상업,
신안해양과학,
전남미용,
감천,
경주여자,
김천중앙,
상모,
성주,
약목,
점촌,
경일,
금오여자,
문화,
상주,
선화여자,
성창여자,
안강여자,
영광여자,
의성,
이서,
경산과학,
김천예술,
경주디자인,
상산전자,
청도전자,
흥해공업,
신라공업,
포항제철공업,
구미여자상업,
경주정보,
포항해양과학,
진보,
거창여자,
곤양,
구산,
대곡,
마산가포,
밀양여자,
야로,
의령,
진서,
진주,
창원여자,
통영여자,
합포,
남해해성,
사천,
삼랑진,
마산삼진,
창원,
동원,
창녕옥야,
함양제일,
거창공업,
경남항공,
경남자동차,
한일전산여자,
선명여자,
경남로봇,
대정,
세화,
남주,
경동,
대영,
상계,
서초,
양재,
언남,
용산,
방산,
경일,
월계,
잠일,
가재울,
건국대학교사범대학부속,
백암,
상문,
송곡,
숭문,
숭실,
양천,
영동,
인창,
한서,
한영,
현대,
휘문,
미림여자,
성심여자,
염광,
용화여자,
진명여자,
하나,
한성과학,
미래산업과학,
유한공업,
서울문화,
경복비즈니스,
세그루패션디자인,
구덕,
경남여자,
금곡,
금정,
만덕,
성모여자,
부산백양,
양운,
화명,
남성여자,
덕문여자,
동래여자,
부산진여자,
양정,
장안제일,
해동,
브니엘예술,
부산외국어,
부산마케팅,
달성,
대구서부,
와룡,
경신,
경화여자,
현풍,
대구달서공업,
대구전자공업,
조일로봇,
대구여자상업,
강화여자,
계산,
계양,
인천해원,
안남,
작전여자,
인천체육,
인천비즈니스,
인천여자상업,
인천해양과학,
전남대학교사범대학부설,
첨단,
광주동신여자,
광주석산,
광주진흥,
국제,
대전지족,
신탄진,
남대전,
대전동산,
대전제일,
서대전,
서대전여자,
대전과학,
남목,
울산동천,
울산중앙,
삼산,
성신,
현대,
양지,
김포제일,
매홀,
가운,
고잔,
광남,
명문,
광문,
기흥,
김포,
매원,
돌마,
문산,
백석,
상동,
서원,
선부,
성사,
수리,
신길,
용인,
용인백현,
원미,
부용,
율면,
상현,
이포,
장안,
정왕,
조원,
진건,
청덕,
토평,
효원,
풍동,
경안,
상우,
동광,
송림,
시온,
신갈,
신한,
신흥,
안산동산,
동국대학교사범대학부속영석,
정명,
한광,
효성,
진접,
발곡,
미사,
서천,
동두천외국어,
성남외국어,
김포외국어,
동탄국제,
고양,
김포제일공업,
성남방송,
양영디지털,
경기글로벌통상,
군포e비즈니스,
안양여자상업,
연천,
이천제일,
죽산,
하성,
광탄,
다산,
통진,
마차,
치악,
홍천여자,
화천,
민족사관,
강원과학,
동해상업,
북원여자,
함백,
상지대관령,
충북대학교사범대학부설,
일신여자,
주덕,
충주여자,
양업,
진천,
음성,
주성,
서원,
청주농업,
한림디자인,
충남삼성,
공주여자,
논산,
부여,
안면,
용남,
정산,
계룡,
건양대학교병설건양,
서야,
아산,
북일여자,
금산산업,
아산전자기계,
부안여자,
마령,
안성,
인월,
전주제일,
군산중앙여자,
만경,
상산,
순창,
신태인,
인상,
전주해성,
태인,
칠보,
군산상업,
군산여자상업,
익산,
광양여자,
강진,
하의,
문태,
나산,
장성,
진도,
영산,
옥과,
한빛,
한국말산업,
광양하이텍,
담양공업,
다향,
영광공업,
삼계,
황산,
목포성신,
안좌,
석적,
군위,
안계,
울진,
풍양,
근화여자,
대창,
모계,
선영여자,
세화,
영광,
영일,
청도,
하양여자,
김천생명과학,
구미정보,
경북간호,
경상,
아림,
남해제일,
밀양,
신등,
김해삼방,
양산,
양산남부,
옥종,
진교,
창원봉림,
대아,
삼현여자,
원경,
진주제일여자,
명덕,
김해영운,
합천여자,
진주기계공업,
창원기계공업,
거제여자상업,
오현,
한림공업,
